N,Method,Overall_mean,law_mean,psychology_mean,chemistry_mean,biology_mean,physics_mean,history_mean,economics_mean,math_mean,business_mean,philosophy_mean,health_mean,engineering_mean,computer_science_mean,other_mean,Overall_std,law_std,psychology_std,chemistry_std,biology_std,physics_std,history_std,economics_std,math_std,business_std,philosophy_std,health_std,engineering_std,computer_science_std,other_std
1,MV,51.147993183352064,32.41379310344827,58.666666666666664,43.333333333333336,67.6923076923077,51.33333333333333,47.333333333333336,58.666666666666664,53.333333333333336,55.70469798657718,46.308724832214764,59.285714285714285,39.33333333333333,48.0,54.666666666666664,8.825522206734124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,gORM-14B,51.147993183352064,32.41379310344827,58.666666666666664,43.333333333333336,67.6923076923077,51.33333333333333,47.333333333333336,58.666666666666664,53.333333333333336,55.70469798657718,46.308724832214764,59.285714285714285,39.33333333333333,48.0,54.666666666666664,8.825522206734124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Pass@1,51.147993183352064,32.41379310344827,58.666666666666664,43.333333333333336,67.6923076923077,51.33333333333333,47.333333333333336,58.666666666666664,53.333333333333336,55.70469798657718,46.308724832214764,59.285714285714285,39.33333333333333,48.0,54.666666666666664,8.825522206734124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,MV,51.147993183352064,32.41379310344827,58.666666666666664,43.333333333333336,67.6923076923077,51.33333333333333,47.333333333333336,58.666666666666664,53.333333333333336,55.70469798657718,46.308724832214764,59.285714285714285,39.33333333333333,48.0,54.666666666666664,8.825522206734124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,gORM-14B,57.724880837635816,37.93103448275862,64.0,57.99999999999999,70.76923076923077,60.0,50.0,66.0,63.33333333333333,61.74496644295302,48.322147651006716,60.71428571428571,48.0,59.333333333333336,60.0,8.37527028361239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Pass@2,61.404244794779395,43.44827586206896,64.66666666666666,57.99999999999999,73.07692307692307,63.33333333333333,55.333333333333336,71.33333333333334,66.0,67.11409395973155,53.02013422818792,65.0,54.0,61.33333333333333,64.0,7.646551925242017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MV,53.63257046895093,33.10344827586207,58.666666666666664,48.66666666666667,73.07692307692307,54.0,52.0,60.0,57.99999999999999,55.033557046979865,46.308724832214764,60.0,48.0,52.0,52.0,8.640233882815608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,gORM-14B,64.01509749218613,37.93103448275862,68.66666666666667,68.0,78.46153846153847,71.33333333333334,52.0,72.66666666666667,75.33333333333333,70.46979865771812,52.348993288590606,65.0,54.666666666666664,64.66666666666666,64.66666666666666,10.671856278166288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Pass@4,71.85406962528661,52.41379310344828,72.66666666666667,72.66666666666667,83.84615384615385,78.0,62.66666666666667,80.0,80.66666666666666,77.85234899328859,62.41610738255034,71.42857142857143,65.33333333333333,73.33333333333333,72.66666666666667,8.280174329314116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,MV,56.39324785154123,40.0,62.0,53.333333333333336,73.84615384615385,59.333333333333336,50.66666666666667,62.0,59.333333333333336,61.07382550335571,44.966442953020135,64.28571428571429,49.333333333333336,54.666666666666664,54.666666666666664,8.307630392046374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,gORM-14B,67.98134098849873,40.689655172413794,70.66666666666667,76.66666666666667,83.07692307692308,78.0,54.0,74.66666666666667,83.33333333333334,73.8255033557047,57.71812080536913,66.42857142857143,57.333333333333336,68.0,67.33333333333333,11.610606563220514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Pass@8,80.26992111711256,67.58620689655173,77.33333333333333,87.33333333333333,90.76923076923077,87.33333333333333,68.66666666666667,84.0,88.0,85.90604026845638,70.46979865771812,75.71428571428571,78.0,80.66666666666666,82.0,7.293282323065086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,MV,57.92082204501618,39.310344827586206,62.66666666666667,59.333333333333336,75.38461538461539,64.0,50.0,64.66666666666666,64.66666666666666,62.41610738255034,45.63758389261745,62.142857142857146,51.33333333333333,54.0,55.333333333333336,8.948004151714397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,gORM-14B,70.09399012840677,42.06896551724138,70.0,77.33333333333333,84.61538461538461,84.66666666666667,53.333333333333336,78.0,86.0,76.51006711409396,61.07382550335571,65.71428571428571,62.66666666666667,71.33333333333334,68.0,12.131056987421315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Pass@16,86.15445281952704,76.55172413793103,83.33333333333334,92.0,93.84615384615384,93.33333333333333,72.66666666666667,88.66666666666667,94.66666666666667,91.2751677852349,80.53691275167785,79.28571428571428,88.0,86.0,86.0,6.623234570714685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
