N,Method,Overall_mean,law_mean,psychology_mean,chemistry_mean,biology_mean,physics_mean,history_mean,economics_mean,math_mean,business_mean,philosophy_mean,health_mean,engineering_mean,computer_science_mean,other_mean,Overall_std,law_std,psychology_std,chemistry_std,biology_std,physics_std,history_std,economics_std,math_std,business_std,philosophy_std,health_std,engineering_std,computer_science_std,other_std
1,MV,51.147993183352064,32.41379310344827,58.666666666666664,43.333333333333336,67.6923076923077,51.33333333333333,47.333333333333336,58.666666666666664,53.333333333333336,55.70469798657718,46.308724832214764,59.285714285714285,39.33333333333333,48.0,54.666666666666664,8.825522206734124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,gORM-14B,51.147993183352064,32.41379310344827,58.666666666666664,43.333333333333336,67.6923076923077,51.33333333333333,47.333333333333336,58.666666666666664,53.333333333333336,55.70469798657718,46.308724832214764,59.285714285714285,39.33333333333333,48.0,54.666666666666664,8.825522206734124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Pass@1,51.147993183352064,32.41379310344827,58.666666666666664,43.333333333333336,67.6923076923077,51.33333333333333,47.333333333333336,58.666666666666664,53.333333333333336,55.70469798657718,46.308724832214764,59.285714285714285,39.33333333333333,48.0,54.666666666666664,8.825522206734124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,MV,51.147993183352064,32.41379310344827,58.666666666666664,43.333333333333336,67.6923076923077,51.33333333333333,47.333333333333336,58.666666666666664,53.333333333333336,55.70469798657718,46.308724832214764,59.285714285714285,39.33333333333333,48.0,54.666666666666664,8.825522206734124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,gORM-14B,57.724880837635816,37.93103448275862,64.0,57.99999999999999,70.76923076923077,60.0,50.0,66.0,63.33333333333333,61.74496644295302,48.322147651006716,60.71428571428571,48.0,59.333333333333336,60.0,8.37527028361239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Pass@2,61.404244794779395,43.44827586206896,64.66666666666666,57.99999999999999,73.07692307692307,63.33333333333333,55.333333333333336,71.33333333333334,66.0,67.11409395973155,53.02013422818792,65.0,54.0,61.33333333333333,64.0,7.646551925242017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MV,53.63257046895093,33.10344827586207,58.666666666666664,48.66666666666667,73.07692307692307,54.0,52.0,60.0,57.99999999999999,55.033557046979865,46.308724832214764,60.0,48.0,52.0,52.0,8.640233882815608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,gORM-14B,63.395454409488856,37.24137931034483,66.0,68.0,80.0,73.33333333333333,53.333333333333336,70.0,75.33333333333333,67.78523489932886,55.033557046979865,62.142857142857146,54.0,62.66666666666667,62.66666666666667,10.535552385587227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Pass@4,71.85406962528661,52.41379310344828,72.66666666666667,72.66666666666667,83.84615384615385,78.0,62.66666666666667,80.0,80.66666666666666,77.85234899328859,62.41610738255034,71.42857142857143,65.33333333333333,73.33333333333333,72.66666666666667,8.280174329314116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,MV,56.39324785154123,40.0,62.0,53.333333333333336,73.84615384615385,59.333333333333336,50.66666666666667,62.0,59.333333333333336,61.07382550335571,44.966442953020135,64.28571428571429,49.333333333333336,54.666666666666664,54.666666666666664,8.307630392046374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,gORM-14B,66.50564467326461,43.44827586206896,69.33333333333334,75.33333333333333,83.84615384615385,76.0,53.333333333333336,72.66666666666667,82.66666666666667,74.49664429530202,50.33557046979866,64.28571428571429,56.666666666666664,65.33333333333333,63.33333333333333,11.70942125277399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Pass@8,80.26992111711256,67.58620689655173,77.33333333333333,87.33333333333333,90.76923076923077,87.33333333333333,68.66666666666667,84.0,88.0,85.90604026845638,70.46979865771812,75.71428571428571,78.0,80.66666666666666,82.0,7.293282323065086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,MV,57.92082204501618,39.310344827586206,62.66666666666667,59.333333333333336,75.38461538461539,64.0,50.0,64.66666666666666,64.66666666666666,62.41610738255034,45.63758389261745,62.142857142857146,51.33333333333333,54.0,55.333333333333336,8.948004151714397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,gORM-14B,68.50051311358219,41.37931034482759,71.33333333333334,76.0,83.84615384615385,83.33333333333334,53.333333333333336,77.33333333333333,87.33333333333333,75.83892617449665,55.70469798657718,63.57142857142857,60.66666666666667,66.66666666666666,62.66666666666667,12.70183396332846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Pass@16,86.15445281952704,76.55172413793103,83.33333333333334,92.0,93.84615384615384,93.33333333333333,72.66666666666667,88.66666666666667,94.66666666666667,91.2751677852349,80.53691275167785,79.28571428571428,88.0,86.0,86.0,6.623234570714685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
