N,Method,Overall_mean,law_mean,psychology_mean,chemistry_mean,biology_mean,physics_mean,history_mean,economics_mean,math_mean,business_mean,philosophy_mean,health_mean,engineering_mean,computer_science_mean,other_mean,Overall_std,law_std,psychology_std,chemistry_std,biology_std,physics_std,history_std,economics_std,math_std,business_std,philosophy_std,health_std,engineering_std,computer_science_std,other_std
1,MV,50.26979456201329,32.11724137931034,58.00666666666668,44.53333333333334,69.57692307692308,47.49333333333333,45.93999999999999,57.48,51.13999999999999,54.724832214765094,42.14765100671141,58.157142857142865,40.65333333333333,49.97333333333333,51.83333333333334,9.351906453450692,3.0629619698157295,2.446757491502217,3.0955164709983736,2.364368136815951,2.8815427966436475,2.364731603280921,2.474007096010662,3.1906739100071,2.5173064323297845,2.807583981657972,2.424744884539823,3.5577520992896625,2.8408449447303528,2.359613904387278
1,gORM-14B,50.26979456201329,32.11724137931034,58.00666666666668,44.53333333333334,69.57692307692308,47.49333333333333,45.93999999999999,57.48,51.13999999999999,54.724832214765094,42.14765100671141,58.157142857142865,40.65333333333333,49.97333333333333,51.83333333333334,9.351906453450692,3.0629619698157295,2.446757491502217,3.0955164709983736,2.364368136815951,2.8815427966436475,2.364731603280921,2.474007096010662,3.1906739100071,2.5173064323297845,2.807583981657972,2.424744884539823,3.5577520992896625,2.8408449447303528,2.359613904387278
1,gPRM-14B,50.26979456201329,32.11724137931034,58.00666666666668,44.53333333333334,69.57692307692308,47.49333333333333,45.93999999999999,57.48,51.13999999999999,54.724832214765094,42.14765100671141,58.157142857142865,40.65333333333333,49.97333333333333,51.83333333333334,9.351906453450692,3.0629619698157295,2.446757491502217,3.0955164709983736,2.364368136815951,2.8815427966436475,2.364731603280921,2.474007096010662,3.1906739100071,2.5173064323297845,2.807583981657972,2.424744884539823,3.5577520992896625,2.8408449447303528,2.359613904387278
1,Pass@N,50.26979456201329,32.11724137931034,58.00666666666668,44.53333333333334,69.57692307692308,47.49333333333333,45.93999999999999,57.48,51.13999999999999,54.724832214765094,42.14765100671141,58.157142857142865,40.65333333333333,49.97333333333333,51.83333333333334,9.351906453450692,3.0629619698157295,2.446757491502217,3.0955164709983736,2.364368136815951,2.8815427966436475,2.364731603280921,2.474007096010662,3.1906739100071,2.5173064323297845,2.807583981657972,2.424744884539823,3.5577520992896625,2.8408449447303528,2.359613904387278
2,MV,50.26979456201329,32.11724137931034,58.00666666666668,44.53333333333334,69.57692307692308,47.49333333333333,45.93999999999999,57.48,51.13999999999999,54.724832214765094,42.14765100671141,58.157142857142865,40.65333333333333,49.97333333333333,51.83333333333334,9.351906453450692,3.0629619698157295,2.446757491502217,3.0955164709983736,2.364368136815951,2.8815427966436475,2.364731603280921,2.474007096010662,3.1906739100071,2.5173064323297845,2.807583981657972,2.424744884539823,3.5577520992896625,2.8408449447303528,2.359613904387278
2,gORM-14B,57.50752605804396,38.09655172413792,62.46666666666666,55.56000000000001,76.13846153846154,58.973333333333336,50.85999999999999,64.72,62.80666666666667,62.208053691275175,47.41610738255034,62.89285714285714,47.84000000000001,57.406666666666666,57.72,9.33344677500856,3.3490836768338887,2.0816659994661313,3.051003477910542,2.1973087358114647,2.9004520720436355,2.213684711064337,2.324134247413432,2.7475969298441285,2.581398604615701,2.527939458610632,1.9804529475731105,3.2250684747252527,2.4072021564925166,2.3001062777378105
2,gPRM-14B,54.395657283724205,36.12413793103448,61.67333333333332,48.66000000000001,74.04615384615384,52.1,50.30000000000001,62.15333333333333,57.43333333333334,59.24161073825504,45.523489932885916,61.857142857142854,41.60666666666667,53.88666666666667,56.93333333333333,9.715212074639007,2.8945477468405314,2.247952154492814,3.11768432583473,2.419398917967098,3.298989744351039,1.8912077270005705,2.5137046586882685,2.57401545363573,2.2215778885604642,2.8156822092202938,1.8762750766519571,3.3968547543606014,2.4856119300217943,2.3342855200015453
2,Pass@N,61.72972685269789,45.12413793103449,66.26,59.67333333333334,78.43076923076923,62.66666666666666,55.220000000000006,67.86666666666667,64.81333333333333,65.71140939597315,52.5503355704698,66.89285714285714,55.17333333333333,61.47333333333333,62.36,8.170002126661196,3.2615002784895473,2.4108919511251443,3.0962270947432495,2.060964328778409,2.726006440034781,2.093492562946215,2.4639624816768473,2.8403129718004276,2.3711229879814435,2.5138685638024207,1.7710108954596329,3.3308257234505674,2.4554610338771186,2.444804013958309
4,MV,54.189834234763815,34.668965517241375,59.76000000000001,52.20666666666667,73.14615384615385,54.12666666666667,48.26666666666666,60.18,57.40666666666666,59.31543624161074,43.71140939597317,61.33571428571428,46.73999999999999,52.94666666666666,54.84666666666668,9.179168567714587,2.775560060675353,1.8511738017929185,2.7303967965602847,1.9249068216901701,2.6376673196005767,2.2330845632592307,2.309122007266927,2.911883697311186,1.746978705520091,2.2252244382825066,2.0219585372926447,3.01683424948884,2.181090451025715,2.0760111324899544
4,gORM-14B,62.467473173557245,41.98620689655172,65.42666666666668,63.62666666666667,80.0153846153846,68.16,53.10000000000001,68.93333333333332,72.05333333333333,67.41610738255034,51.395973154362416,64.96428571428571,52.96666666666666,63.533333333333324,60.96666666666666,9.686312144681343,2.8120346094013264,1.8135784148105278,2.609929756398307,1.7940730823609365,2.458762109499641,1.7698085269944386,2.3304744390598082,2.5968870253097673,2.0845922806036716,2.378870397535708,1.676290243243048,3.261049592454006,2.273519053997323,2.0074859899884725
4,gPRM-14B,57.6787517952012,38.96551724137931,64.34666666666666,52.44666666666666,77.32307692307691,56.27333333333334,53.1,65.45333333333333,62.41333333333332,62.644295302013425,49.51677852348993,64.39285714285715,43.11333333333334,57.42000000000001,60.09333333333335,9.815274211743258,2.6033911845761204,1.8147053632905676,2.991922458888264,2.0654383319185734,2.848929623560399,1.6849002608133488,2.211846890421366,2.5399562550913686,2.1376023304758305,2.648380314828071,1.785357107135712,3.0244264837412653,2.576224627887354,2.1187417649790805
4,Pass@N,71.61037407699804,57.324137931034485,73.38666666666667,72.90666666666668,84.40769230769233,76.36,62.47999999999999,75.92666666666668,76.74,75.29530201342281,62.644295302013425,72.80714285714286,68.84666666666668,72.68666666666668,70.73333333333333,7.093197141426416,3.106175047304104,1.9769336525707333,2.669198797808476,1.8931674094587316,2.4429854231611303,1.7890531325567463,2.0803738980182267,2.746949823592219,2.184447774733218,2.4899600208366026,1.6138905963982992,2.6962607852769422,2.3064258063072396,2.092313976863363
8,MV,56.27616501488174,36.06896551724138,60.58,56.56666666666667,74.78461538461538,58.45333333333333,49.28666666666667,61.606666666666676,60.75333333333334,61.65100671140938,44.758389261744966,62.85000000000001,50.15333333333333,54.58666666666667,55.76666666666666,9.181562012233943,2.581374796167297,1.7553853644649597,2.5653676366382867,1.701304755128395,2.407174461664315,1.794448228410183,2.0956992998890733,2.617301409212676,1.5825839207233694,2.0105012360193,1.6613708379601748,2.4474113308192034,2.129746985494339,1.9963856229585388
8,gORM-14B,65.69793945114407,44.15172413793103,67.84666666666666,69.06666666666666,82.79230769230767,74.77333333333333,53.92000000000001,72.14,78.62666666666667,70.7718120805369,53.724832214765094,65.05714285714285,56.32000000000001,67.72666666666667,62.85333333333334,10.467504232504373,2.4304450251371725,1.882917358191217,2.252899366495443,1.7697490879555582,2.2700367104226884,1.641895923078629,1.8118008229996514,2.2466172101381416,2.304223409409784,2.3022677770528728,1.5540598575397033,2.7511290611512784,2.0068659923151633,1.9185179465178601
8,gPRM-14B,60.10598517383917,40.765517241379314,66.19333333333333,56.04,79.66923076923077,59.68666666666667,54.44666666666667,67.88666666666666,66.4,65.16107382550337,52.624161073825505,65.15714285714286,44.78666666666666,60.08666666666667,62.58,9.851159720721089,2.7498048790360583,1.5240151646956226,2.6311298798129372,1.9679533116124444,2.537636695825468,1.7309085603937737,1.862029955601029,2.458545188611439,2.143651897464212,2.0225631454671356,1.7425643782210447,2.908042487844892,2.045385049324454,2.019141731858694
8,Pass@N,79.74122780438613,68.91724137931034,79.43333333333334,83.10666666666665,89.83076923076923,86.74666666666668,68.20666666666666,81.92666666666668,86.08,83.1476510067114,71.65771812080537,77.05714285714286,80.65333333333334,81.38,78.23333333333333,6.558136601336693,2.465948840930806,1.7848124706970074,2.1483223428733647,1.7694983075309867,2.1401557575715504,1.6618463627343365,1.7356266879718143,2.1587650790826363,1.9633482302283642,2.0353503953684475,1.4924298773394715,2.235034178212447,1.8141542259564285,2.0469489490458708
16,MV,57.5398028872418,37.12413793103448,60.96,59.39333333333334,75.52307692307691,61.3,49.81333333333334,62.33333333333333,63.60666666666666,62.48993288590603,45.22818791946308,63.77857142857144,52.29333333333332,55.42666666666668,56.28666666666666,9.175783313318101,2.2199077655422674,1.4462825911049793,1.9845962365736316,1.4447620143492546,2.0706949987329804,1.3435607747904645,1.6234394215847876,1.8975891137030796,1.4515740591588855,1.700239903372819,1.0414618846327777,1.9535039743439937,1.852373852355104,1.583961278988009
16,gORM-14B,67.5554083019283,44.99310344827586,68.92666666666668,71.86666666666666,84.34615384615383,79.05333333333333,54.28,74.05333333333334,82.77333333333334,73.52348993288591,54.51677852348994,64.84285714285714,57.82666666666667,70.65333333333335,64.11999999999999,11.254174993156235,2.5732918904369986,1.6381425796038398,2.147867159144933,1.6654334688162284,1.9803030071178498,1.5149037373157863,1.4226110579572402,2.111808072087364,1.7407667583010666,2.2012092773700673,1.4270706402434654,2.1901192255724844,1.8570705724638235,1.7058852377708298
16,gPRM-14B,62.13537002246825,42.53103448275862,67.34,58.53333333333333,82.07692307692307,62.35333333333334,55.32666666666667,69.50666666666667,70.14000000000001,67.01342281879194,55.355704697986575,65.77142857142857,46.599999999999994,62.85999999999999,64.48666666666666,9.936746493078902,2.3081409972655544,1.4772196105446833,2.706371084024591,2.1906201332150994,2.6152628930950694,1.8220745197591557,1.6643183456164752,2.1484774971024376,2.103949240190233,2.0411513455323878,1.4835148555139621,2.8821288428289717,2.138109237413071,2.0588130345204023
